AA_ELEICAO,NR_TURNO,SG_UF,NM_MUNICIPIO,NR_ZONA,DS_GENERO,DS_ESTADO_CIVIL,DS_FAIXA_ETARIA,DS_GRAU_ESCOLARIDADE,TP_CONVOCACAO,TP_COMPARECIMENTO,QT_MESARIOS_PERFIL
2020,1,PA,BELÉM,97,FEMININO,CASADO,40 a 44 anos,ENSINO FUNDAMENTAL COMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,1,PA,BELÉM,97,FEMININO,SOLTEIRO,50 a 54 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,2
2020,1,PA,BELÉM,97,FEMININO,SOLTEIRO,21 a 24 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,5
2020,1,PA,BELÉM,97,FEMININO,SOLTEIRO,35 a 39 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Ausências,1
2020,1,PA,BELÉM,97,FEMININO,SOLTEIRO,40 a 44 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,10
2020,2,PA,BELÉM,97,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO MÉDIO COMPLETO,Voluntárias e voluntários,Comparecimentos,13
2020,1,PA,BELÉM,97,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO MÉDIO COMPLETO,Não voluntárias e não voluntários,Ausências,9
2020,2,PA,BELÉM,97,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,6
2020,2,PA,BELÉM,97,FEMININO,CASADO,50 a 54 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,1
2020,1,PA,BELÉM,97,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO FUNDAMENTAL INCOMPLETO,Não voluntárias e não voluntários,Ausências,2
2020,1,PA,BELÉM,97,MASCULINO,CASADO,25 a 29 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,1,PA,BELÉM,97,FEMININO,CASADO,30 a 34 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,4
2020,2,PA,BELÉM,97,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Ausências,2
