AA_ELEICAO,NR_TURNO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,TP_CONVOCACAO,TP_COMPARECIMENTO,QT_MESARIOS_PERFIL
2024,1,RS,88013,PORTO ALEGRE,161,2,MASCULINO,1,SOLTEIRO,1900,19 anos,5,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,2
2024,1,RS,88013,PORTO ALEGRE,161,4,FEMININO,3,CASADO,4044,40 a 44 anos,8,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,14
2024,2,RS,88013,PORTO ALEGRE,1,2,MASCULINO,3,CASADO,3539,35 a 39 anos,8,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,6
2024,2,RS,88013,PORTO ALEGRE,112,4,FEMININO,1,SOLTEIRO,3034,30 a 34 anos,5,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,11
2024,2,RS,88013,PORTO ALEGRE,158,2,MASCULINO,1,SOLTEIRO,3539,35 a 39 anos,5,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,7
2024,2,RS,88013,PORTO ALEGRE,2,4,FEMININO,1,SOLTEIRO,2529,25 a 29 anos,5,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,1
2024,1,RS,88013,PORTO ALEGRE,161,2,MASCULINO,1,SOLTEIRO,5559,55 a 59 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,Voluntárias e voluntários,Comparecimentos,1
2024,1,RS,88013,PORTO ALEGRE,158,4,FEMININO,1,SOLTEIRO,6064,60 a 64 anos,6,ENSINO MÉDIO COMPLETO,Voluntárias e voluntários,Comparecimentos,3
2024,1,RS,88013,PORTO ALEGRE,112,4,FEMININO,1,SOLTEIRO,4549,45 a 49 anos,8,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,11
2024,2,RS,88013,PORTO ALEGRE,158,4,FEMININO,9,DIVORCIADO,4044,40 a 44 anos,8,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,3
2024,1,RS,88013,PORTO ALEGRE,1,4,FEMININO,1,SOLTEIRO,5054,50 a 54 anos,6,ENSINO MÉDIO COMPLETO,Não voluntárias e não voluntários,Comparecimentos,2
2024,2,RS,88013,PORTO ALEGRE,112,2,MASCULINO,1,SOLTEIRO,3034,30 a 34 anos,8,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,7
2024,1,RS,88013,PORTO ALEGRE,1,4,FEMININO,3,CASADO,4044,40 a 44 anos,8,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,17
2024,2,RS,88013,PORTO ALEGRE,112,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,5,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,5
2024,1,RS,88013,PORTO ALEGRE,1,2,MASCULINO,1,SOLTEIRO,3539,35 a 39 anos,7,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,6
2024,1,RS,88013,PORTO ALEGRE,112,4,FEMININO,1,SOLTEIRO,4044,40 a 44 anos,7,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,10
